35	2:00 PM	Movies	Courage	Billy and Mandy	Johnny Bravo	Ed Edd n Eddy	What's New Scooby-Doo	What's New Scooby-Doo
36	2:30 PM	Movies	Courage	Billy and Mandy	Johnny Bravo	Ed Edd n Eddy	Ben 10	Ben 10
37	3:00 PM	Camp Lazlo	Dexters Lab	Camp Lazlo	Dexters Lab	Camp Lazlo	Mucha Lucha	Mucha Lucha
38	3:30 PM	PPG	What's New Scooby-Doo	PPG	What's New Scooby-Doo	PPG	Courage	Courage
39	4:00 PM	Sailor Moon	Sailor Moon	Sailor Moon	Sailor Moon	Sailor Moon	Totally Spies	Totally Spies
40	4:25 PM	YuYu	YuYu	YuYu	YuYu	YuYu	Static Shock	Static Shock
41	4:50 PM	DBZ (Run A)	DBZ (Run A)	DBZ (Run A)	DBZ (Run A)	DBZ (Run A)	Code Lyoko	Code Lyoko
42	5:15 PM	One Piece	One Piece	One Piece	One Piece	One Piece	Megas XLR	Megas XLR
43	5:40 PM	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	KND	KND
44	6:10 PM	Outlaw Star	Zatch Bell	Outlaw Star	Zatch Bell	Outlaw Star	Ed Edd n Eddy	Ed Edd n Eddy
45	6:35 PM	Gundam Wing	Justice League	Gundam Wing	Justice League	Gundam Wing	Billy and Mandy	Billy and Mandy
46	7:00 PM	KND	KND	KND	KND	Fosters	The Batman	The Batman
47	7:30 PM	Billy and Mandy	Billy and Mandy	Billy and Mandy	Billy and Mandy	HiHiPuffyAmiYumi	Justice League Unlimited	Justice League Unlimited 
48	8:00 PM	Pokemon Johto	Hi Hi Puffy Ami Yumi	Pokemon Johto	Hi Hi Puffy Ami Yumi	Camp Lazlo	Teen Titans	Teen Titans
49	8:30 PM	Juniper Lee	Ed Edd n Eddy	Juniper Lee	Ed Edd n Eddy	Billy and Mandy	Zatch Bell	Zatch Bell
50	9:00 PM	Mucha Lucha	Totally Spies	Mucha Lucha	Totally Spies	Juniper Lee	DBZ (Run C)	DBZ (Run C)
51	9:30 PM	Yu-Gi-Oh!	Yu-Gi-Oh!	Yu-Gi-Oh!	Yu-Gi-Oh!	Ed Ed n Eddy	One Piece (Season 1)	One Piece (Season 1)
53	10:30 PM	DBZ (Run B)	DBZ (Run B)	DBZ (Run B)	DBZ (Run B)	PPG	BoBoBo	BoBoBo
54	11:00 PM	Family Guy	Futurama	Futurama	Futurama	Futurama	Space Ghost C2C	The Boondocks
55	11:24 PM	Futurama	Family Guy	Family Guy	Family Guy	Family Guy	The Boondocks	Harvey Birdman Attorney at Law
56	11:47 PM	Robot Chicken	Robot Chicken	Robot Chicken	Robot Chicken	Robot Chicken	Samurai Champloo	Tim and Eric's Awesome Show
